Trial,PriorRate,StartYear,P1rate,P2Rate,PostRate,Spruce_estab_cost,Fir_estab_cost,Beech_estab_cost,UncertaintyFactor,Wood_C,Spruce_area,Fir_area,Beech_area,Total_timber,Salvaged_timber,Average_standing_timber,Shannon,DCF,SEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.01,20,0.015,0.015,0.01,-2000,-2000,-3000,3,79.31283838,0.370116054,0.488540205,0.141443741,944.2649117,81.88854705,281.5549365,3.256142101,24938.35441,15470.82318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.01,20,-0.005,-0.005,0.01,-2000,-2000,-3000,3,73.44558684,0.371633859,0.473468597,0.154997544,922.3250447,73.48215156,272.6022084,3.306497124,22783.7238,29214.22172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.01,20,-0.01,-0.01,0.01,-2000,-2000,-3000,3,73.37446304,0.372466394,0.48040004,0.147233566,926.5485481,73.82296983,273.4903842,3.298179855,22841.70239,34959.82075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.01,20,-0.02,-0.02,0.01,-2000,-2000,-3000,3,69.72559743,0.368683255,0.470435518,0.160981226,908.2102647,69.61073749,269.3269907,3.32738313,21446.28453,48634.94643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.01,20,-0.03,-0.03,0.01,-2000,-2000,-3000,3,66.60584852,0.368969443,0.472650485,0.158480072,902.1501225,66.04312262,265.9070665,3.327298019,20435.86751,69724.53142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.01,20,-0.04,-0.04,0.01,-2000,-2000,-3000,3,63.97424599,0.367487616,0.472485088,0.160027297,893.780059,62.41611107,262.9077222,3.330307171,19500.28572,101006.2971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.01,20,-0.05,-0.05,0.01,-2000,-2000,-3000,3,63.88212601,0.369534751,0.489427539,0.141137709,902.8944217,64.83157916,266.6463581,3.302726659,19699.94116,150619.7259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.01,20,-0.06,-0.06,0.01,-2000,-2000,-3000,3,59.74084091,0.369042433,0.47633405,0.154723516,884.1470213,58.27080868,260.3215805,3.318365579,18130.86693,220894.5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.005,20,0.015,0.015,0.005,-2000,-2000,-3000,3,76.39343586,0.365043632,0.4673264,0.167729969,918.6458803,77.07952104,277.4111103,3.309222359,23598.90232,32599.63321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.005,20,-0.005,-0.005,0.005,-2000,-2000,-3000,3,72.32199557,0.362080679,0.463199555,0.174819766,905.1794669,72.22581295,271.7131421,3.334314661,22170.91778,65642.00791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.005,20,-0.01,-0.01,0.005,-2000,-2000,-3000,3,71.26545299,0.361328491,0.462543333,0.176228176,901.9889522,70.95267466,270.2269238,3.33908009,21807.68098,78660.2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.005,20,-0.02,-0.02,0.005,-2000,-2000,-3000,3,69.00770287,0.359743478,0.46137579,0.178980732,895.1849187,68.18047137,266.8399419,3.347166343,21048.96379,113757.8565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.005,20,-0.03,-0.03,0.005,-2000,-2000,-3000,3,66.96030538,0.357726359,0.460108298,0.182265343,887.2717612,66.17611694,265.1964222,3.353348488,20319.07866,165986.1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.005,20,-0.04,-0.04,0.005,-2000,-2000,-3000,3,67.64015478,0.353016003,0.468709756,0.178374241,897.1091114,68.03199393,264.5679853,3.335514679,20563.16687,246949.7701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.005,20,-0.05,-0.05,0.005,-2000,-2000,-3000,3,64.21671705,0.368419977,0.460530934,0.171149089,886.7279106,63.56267584,263.1217696,3.345210877,19511.56733,368541.0226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.005,20,-0.06,-0.06,0.005,-2000,-2000,-3000,3,63.99009942,0.377620832,0.462063259,0.160415909,893.342251,63.68022024,263.9359821,3.334897679,19502.83218,558067.9332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.005,20,0.015,0.015,0.0005,-2000,-2000,-3000,3,68.34014989,0.355266848,0.448115616,0.196717536,883.2483021,67.69322096,264.2589913,3.364392176,20702.17305,307692.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
